candidate_name,candidate_party
Syed Zafar Ali Shah,Pakistan Peoples Party Parliamentarians
Haji Ghulam Ahmad Bilour,Awami National Party
Haji Dost Muhammad,Pakistan Islamic Front
Ghulam Jafar,Independents
Zaboor Khan,Independents
M. Rafiq,Independents
Syed Javed Hassan Shah,Independents
Rifatullah,Independents
Zakira Aslam,Haq Parast Group
Molana Shaheed Ahmad,Jamiat Ulama-e-Islam (Sami)
Alhaj M. Aslam Khan Khattak,Pakistan Muslim League (Nawaz)
Afrasiab Khattak,Paktunkhwa Qaumi Party
Urner Hayat Khattak,Independents
Jehan Nabi Khattak,Independents
Haji Adam Khan,Independents
Gul Shahzad Khattak,Independents
Ch. Khalid Javed Ghurki,Pakistan Peoples Party Parliamentarians
Ch. M. Ashiq Dial,Pakistan Muslim League (Nawaz)
Qazi Hussain Ahmad,Pakistan Islamic Front
Mehboob Alam,Independents
M. Iqbal,Independents
Ijaz Ahmad Dial,Independents
Waheed Akhtar,Independents
Nisar Ahmad Pannu,Pakistan Peoples Party Parliamentarians
Rana Tanveer Hussain,Pakistan Muslim League (Nawaz)
Riaz Ahmad Yazdani,Pakistan Islamic Front
Ch. M. Anwar,Independents
Ch. M. Hanif,Independents
M. Gulfam Ashraf,Independents
Haji Munawar Hussain Manj,Pakistan Peoples Party Parliamentarians
Mehmood Akbar Khan,Pakistan Muslim League (Nawaz)
Ch. Nazir Ahmad Virk,Pakistan Islamic Front
M. Rashid Barfwala,Independents
Hafiz M. Abbas,Jamiat Ulama-e-Islam (Sami)
Ch. Ibn-E-Saud Virk,Independents
M. Khan Manj,Independents
M. Burjees Tahir,Pakistan Muslim League (Nawaz)
M. Arif Awan,Pakistan Peoples Party Parliamentarians
Ishtiaq Ahmad Cheema,Independents
Maqsood-Ul-Haq,Independents
Ch. Tawakkalullah Virk,Pakistan Peoples Party Parliamentarians
Haji Naeem Hussain Chatha,Pakistan Muslim League (Nawaz)
Malik Nazir Ali Noorka,Independents
Rai Bashir Ahmad Khan Bhatti,Pakistan Peoples Party Parliamentarians
Rai Mansab Ali Khan,Pakistan Muslim League (Nawaz)
Sadar Asif Ahmad Ali,Pakistan Muslim League (Haqiqi)
Mian Khurshid Mehmood Kasuri,Pakistan Muslim League (Nawaz)
Malik M. Ali Khan,Independents
M. Aslam Saleemi,Pakistan Islamic Front
M. Rafiq,Independents
"Sadar Mukhtar Ahmad Dogar, Adv.",Independents
Sadar Liqat Ali Dogar,Independents
Sahabzada Khizar Hayat Khan,Independents
Rao Khizar Hayat,Pakistan Muslim League (Nawaz)
Tariq Hakim Ali,Pakistan Peoples Party Parliamentarians
Syeda Nielofer Mehdi,Independents
Ch. Bashir Ahmad Balyana,Pakistan Islamic Front
M. Amer Hayat Khan,Independents
Dr. M. Raza,Independents
Ahmad Raza Kasuri,Independents
Sadar Taliban Hassan,Pakistan Muslim League (Haqiqi)
Rana M. Hayat Khan,Pakistan Muslim League (Nawaz)
Sadar Pervaiz Hassan,Independents
Asmat Abbas,Independents
Rana Sarfraz Khan,Independents
Allam Syed Shabbir Ahmad Hashmi,Islami Jamhoori Mahaz
Malik Ashiq Hussain,Independents
Sardar M. Ashiq Dogar,Pakistan Peoples Party Parliamentarians
Molana Moeenuddin Lakhvi,Pakistan Muslim League (Nawaz)
M. Hamood Lakhvi,Independents
Rana M. Shafeeq Khan Pasroori,Independents
Ch. M. Yaqoob Siddu,Independents
Sardar Mehtab Ahmad Khan,Pakistan Muslim League (Nawaz)
Amanullah Khan Jadoon,Pakistan Muslim League (Haqiqi)
Jamal Khan Abbasi,Pakistan Islamic Front
Rao Sikandar Iqbal,Pakistan Peoples Party Parliamentarians
Mian M. Zaman,Pakistan Muslim League (Nawaz)
