Constituency_Number,Province_Name
NA-1,Khyber Paktunkhwa (NWFP)
NA-2,Khyber Paktunkhwa (NWFP)
NA-3,Khyber Paktunkhwa (NWFP)
NA-4,Khyber Paktunkhwa (NWFP)
NA-5,Khyber Paktunkhwa (NWFP)
NA-6,Khyber Paktunkhwa (NWFP)
NA-7,Khyber Paktunkhwa (NWFP)
NA-8,Khyber Paktunkhwa (NWFP)
NA-9,Khyber Paktunkhwa (NWFP)
NA-10,Khyber Paktunkhwa (NWFP)
NA-11,Khyber Paktunkhwa (NWFP)
NA-12,Khyber Paktunkhwa (NWFP)
NA-13,Khyber Paktunkhwa (NWFP)
NA-14,Khyber Paktunkhwa (NWFP)
NA-15,Khyber Paktunkhwa (NWFP)
NA-16,Khyber Paktunkhwa (NWFP)
NA-17,Khyber Paktunkhwa (NWFP)
NA-18,Khyber Paktunkhwa (NWFP)
NA-19,Khyber Paktunkhwa (NWFP)
NA-20,Khyber Paktunkhwa (NWFP)
NA-21,Khyber Paktunkhwa (NWFP)
NA-22,Khyber Paktunkhwa (NWFP)
NA-23,Khyber Paktunkhwa (NWFP)
NA-24,Khyber Paktunkhwa (NWFP)
NA-25,Khyber Paktunkhwa (NWFP)
NA-26,Khyber Paktunkhwa (NWFP)
NA-27,Khyber Paktunkhwa (NWFP)
NA-28,Khyber Paktunkhwa (NWFP)
NA-29,Khyber Paktunkhwa (NWFP)
NA-30,Khyber Paktunkhwa (NWFP)
NA-31,Khyber Paktunkhwa (NWFP)
NA-32,Khyber Paktunkhwa (NWFP)
NA-33,Khyber Paktunkhwa (NWFP)
NA-34,Khyber Paktunkhwa (NWFP)
NA-35,Khyber Paktunkhwa (NWFP)
NA-36,Islamabad and FATA
NA-37,Islamabad and FATA
NA-38,Islamabad and FATA
NA-39,Islamabad and FATA
NA-40,Islamabad and FATA
NA-41,Islamabad and FATA
NA-42,Islamabad and FATA
NA-43,Islamabad and FATA
NA-44,Islamabad and FATA
NA-45,Islamabad and FATA
