election_date,constituency_number,candidateID,candidate_votes,candidate_share,outcome
1993,NA-1,TD53GV5vU1,40343,0.448724223,Win
1993,NA-1,eozmdRpU0E,35755,0.397693146,Loss
1993,NA-1,tVgHhb8YQ1,9725,0.108168532,Loss
1993,NA-1,ssDxSk8b0y,1943,0.021611461,Loss
1993,NA-1,Uzj3OwHFcI,834,0.009276355,Loss
1993,NA-1,7AFMnPUxhd,447,0.004971859,Loss
1993,NA-1,mExh64vfQB,408,0.004538073,Loss
1993,NA-1,B5B1l5gZJR,360,0.004004182,Loss
1993,NA-1,XUtS94JmWx,91,0.001012168,Loss
1993,NA-10,KNd4Ei382v,24519,0.412979401,Win
1993,NA-10,fsKZwtC81u,19314,0.325310337,Loss
1993,NA-10,fl6AaiKEhh,12976,0.218557882,Loss
1993,NA-10,tWCQ5YGWYO,1422,0.023951087,Loss
1993,NA-10,HM2CxSkz1k,564,0.009499587,Loss
1993,NA-10,HN6rMrc1GP,347,0.005844604,Loss
1993,NA-10,rE7rCDhTcR,229,0.003857102,Loss
1993,NA-100,DctJc2M1ud,38433,0.429375817,Win
1993,NA-100,NRm5ZegeU9,38361,0.428571429,Loss
1993,NA-100,xYHVZJ161F,11107,0.124088081,Loss
1993,NA-100,vVOW8AUoyS,823,0.009194606,Loss
1993,NA-100,014qfaF5nO,427,0.00477047,Loss
1993,NA-100,L3ZDM55jMI,276,0.003083489,Loss
1993,NA-100,vHZyRUqXX6,82,0.000916109,Loss
1993,NA-101,Grj4w3pYWf,63049,0.516845919,Win
1993,NA-101,nIMli9VfZx,51519,0.422328426,Loss
1993,NA-101,h8KT99bqFY,6054,0.049627832,Loss
1993,NA-101,vpZsadpF8p,868,0.007115454,Loss
1993,NA-101,iJaH8y3gOt,293,0.002401876,Loss
1993,NA-101,cqqeTKFSWT,205,0.001680493,Loss
1993,NA-102,iC307elcKF,61465,0.478994085,Win
1993,NA-102,mIeRsq19G9,56909,0.443489374,Loss
1993,NA-102,v4t6DRoGRs,7062,0.05503386,Loss
1993,NA-102,EeNF03RYNI,1790,0.013949393,Loss
1993,NA-102,BJst48O7UX,457,0.003561381,Loss
1993,NA-102,tZhTIziBMU,389,0.00303146,Loss
1993,NA-102,DoYlVm07VY,249,0.001940446,Loss
1993,NA-103,7TuDNrK5fj,46853,0.465698553,Win
1993,NA-103,vw0EFQuZbQ,39939,0.396976384,Loss
1993,NA-103,TMD9UrZPrF,13497,0.134154342,Loss
1993,NA-103,sG56skOEcP,319,0.003170722,Loss
1993,NA-104,1E9JyKzlw7,60917,0.499397447,Win
1993,NA-104,2TVZOTLInE,60459,0.495642764,Loss
1993,NA-104,EM5gyhXqlq,605,0.004959789,Loss
1993,NA-105,4irvm6VHru,48346,0.529459436,Win
1993,NA-105,ysb4YT0VMK,42966,0.470540564,Loss
1993,NA-106,s8O2IJBbvV,46263,0.38639116,Win
1993,NA-106,cFzYWv3xjX,37500,0.313202095,Loss
1993,NA-106,SdUvaTLhkq,27971,0.233615354,Loss
1993,NA-106,tyeH2dBos5,4716,0.039388295,Loss
1993,NA-106,5Qa3r9z3Yi,1422,0.011876623,Loss
1993,NA-106,YyfNOzdkjD,801,0.006689997,Loss
1993,NA-106,hZ9vzHCzot,600,0.005011234,Loss
1993,NA-106,YwOfhhvtWp,458,0.003825242,Loss
1993,NA-107,oADiUo1gGE,48169,0.514791066,Win
1993,NA-107,L7Q97rhYQj,35154,0.375697339,Loss
1993,NA-107,gQoxE8KqDG,5026,0.053713797,Loss
