candidateID,candidate_name
TD53GV5vU1,Syed Zafar Ali Shah
eozmdRpU0E,Haji Ghulam Ahmad Bilour
tVgHhb8YQ1,Haji Dost Muhammad
ssDxSk8b0y,Ghulam Jafar
Uzj3OwHFcI,Zaboor Khan
7AFMnPUxhd,M. Rafiq
mExh64vfQB,Syed Javed Hassan Shah
B5B1l5gZJR,Rifatullah
XUtS94JmWx,Zakira Aslam
KNd4Ei382v,Molana Shaheed Ahmad
fsKZwtC81u,Alhaj M. Aslam Khan Khattak
fl6AaiKEhh,Afrasiab Khattak
tWCQ5YGWYO,Urner Hayat Khattak
HM2CxSkz1k,Jehan Nabi Khattak
HN6rMrc1GP,Haji Adam Khan
rE7rCDhTcR,Gul Shahzad Khattak
DctJc2M1ud,Ch. Khalid Javed Ghurki
NRm5ZegeU9,Ch. M. Ashiq Dial
xYHVZJ161F,Qazi Hussain Ahmad
vVOW8AUoyS,Mehboob Alam
014qfaF5nO,M. Iqbal
L3ZDM55jMI,Ijaz Ahmad Dial
vHZyRUqXX6,Waheed Akhtar
Grj4w3pYWf,Nisar Ahmad Pannu
nIMli9VfZx,Rana Tanveer Hussain
h8KT99bqFY,Riaz Ahmad Yazdani
vpZsadpF8p,Ch. M. Anwar
iJaH8y3gOt,Ch. M. Hanif
cqqeTKFSWT,M. Gulfam Ashraf
iC307elcKF,Haji Munawar Hussain Manj
mIeRsq19G9,Mehmood Akbar Khan
v4t6DRoGRs,Ch. Nazir Ahmad Virk
EeNF03RYNI,M. Rashid Barfwala
BJst48O7UX,Hafiz M. Abbas
tZhTIziBMU,Ch. Ibn-E-Saud Virk
DoYlVm07VY,M. Khan Manj
7TuDNrK5fj,M. Burjees Tahir
vw0EFQuZbQ,M. Arif Awan
TMD9UrZPrF,Ishtiaq Ahmad Cheema
sG56skOEcP,Maqsood-Ul-Haq
1E9JyKzlw7,Ch. Tawakkalullah Virk
2TVZOTLInE,Haji Naeem Hussain Chatha
EM5gyhXqlq,Malik Nazir Ali Noorka
4irvm6VHru,Rai Bashir Ahmad Khan Bhatti
ysb4YT0VMK,Rai Mansab Ali Khan
s8O2IJBbvV,Sadar Asif Ahmad Ali
cFzYWv3xjX,Mian Khurshid Mehmood Kasuri
SdUvaTLhkq,Malik M. Ali Khan
tyeH2dBos5,M. Aslam Saleemi
5Qa3r9z3Yi,M. Rafiq
YyfNOzdkjD,"Sadar Mukhtar Ahmad Dogar, Adv."
hZ9vzHCzot,Sadar Liqat Ali Dogar
YwOfhhvtWp,Sahabzada Khizar Hayat Khan
oADiUo1gGE,Rao Khizar Hayat
L7Q97rhYQj,Tariq Hakim Ali
gQoxE8KqDG,Syeda Nielofer Mehdi
qLmhodZ7tx,Ch. Bashir Ahmad Balyana
LEyoVfwF7w,M. Amer Hayat Khan
JF3h1UL1Oj,Dr. M. Raza
3G3OanCUxd,Ahmad Raza Kasuri
P6RbqxfNYI,Sadar Taliban Hassan
EAOk95S6EU,Rana M. Hayat Khan
B3St6TvQ1s,Sadar Pervaiz Hassan
80jYNHjkWh,Asmat Abbas
ysoPoNvy3m,Rana Sarfraz Khan
M7UYvTQAYk,Allam Syed Shabbir Ahmad Hashmi
5xnKm8NUWs,Malik Ashiq Hussain
kgb3Az3KTj,Sardar M. Ashiq Dogar
v4mtsAVxNx,Molana Moeenuddin Lakhvi
iYQb4tmEtu,M. Hamood Lakhvi
ejvb7oVg8K,Rana M. Shafeeq Khan Pasroori
kPp4nTNLE1,Ch. M. Yaqoob Siddu
G3gPyT8mYM,Sardar Mehtab Ahmad Khan
LpnPAc4Blf,Amanullah Khan Jadoon
lV7gAEwcIx,Jamal Khan Abbasi
m3rhkmRpKy,Rao Sikandar Iqbal
1pumorc3Du,Mian M. Zaman
d5qvNYl52Y,Ch. Ikram-Ul-Haq
0TsYc6W2fc,Rao Abdul Majeeb Khan
0PRk71CWst,Mian Raza Hussain
vmxO4D1i77,Dr. Liaqat Ali Kausar
HXErLEzTAZ,M. Yasin
D7hoTyrE8l,M. Shafi
YZphlPolhH,Mian Yawar Zaman
Fr8DDGaqE5,Sahabzada Attiq-Ur-Rehman
RILdYo2lDc,Ch. Shafqat Abbas Rabera
XLhPzMbwxU,Rai M. Aslam Khan Kharal
LhQ3Ex6Auh,Waheeduddin Ch.
ShjrPWah5G,Rai M. Zulfiqar Khan Kharal
vyU8TDiXC8,Syed Ahmad Hassan Shah
VBbSezFv7K,Maj. (R) Mehmood Ahmad Gill
gN7oqTMaIm,Rao Qaiser Ali Khan
d4kt8jkai2,Rao M. Afzal Khan
Nv14DAgBKJ,Syed Shah Nawaz Kirmani
KO2j84Jzc4,Munir Ahmad Bhutta
bCSmC9FwkW,Syed Akmal Hassan
dWdiOLWKSH,Mian M. Yasin Khan Wattoo
5F8skHqevP,Mian Manzoor Ahmad Khan
2qu9atB9k0,Dr. Qasim Ali Wattoo
Vl1ahrqhiZ,Mian M. Moeen Khan Wattoo
FNIiH2uy8K,Ahmad Shujah
pQJtvdsjUd,Syed Yousaf Raza Gilani
qR2RlSwfMn,Haji Sikandar Hayat Bosan
6V3rUeJkFj,Syed Ahmad Mujtaba Gilani
bpcTaKko5B,Rao Zafar Iqbal
vHki92HEi1,Syed M. Afaq Shah
cL0FDEzKwa,Kunwar Intizar M. Khan
LwkfARLLuK,Haji M. Boota
gNQUrDbLaw,Riaz Hussain Qureshi
d1FeSSohfw,Syed Hamid Saeed Kazmi
erOhynyUPf,M. Altaf
vCwRDbl3DZ,Ch. M. Azam (Retired)
GZ4JMI1QWR,Abdul Waheed Waqar
H4nYzEgQFo,Sh. M. Tahir Rashid
GnzIEtNsLW,Tanveer-Ul-Hassan Gilani
7ibSxzwl02,Saeed Ahmad Qureshi
Izg3vXcmft,Taj M. Langah
HAbWtlNBD2,M. Bilal Khan Leghari
Vi5Rj7cnNd,Rana Mumtaz Ahmad Noon
rrpzZSSs8c,M. Siddiq Khan Kanju
VPo6hUYrQ5,Khurshid Ahmad Khan Kanju
AwwMpuvRpY,Mirza M. Nasir Baig
iiEmbzd2R3,Syed Nasir Ali Rizvi
ASH1X6mam7,Syed Saeed Ahmad Kazmi
TG1B4IwRYT,Taj M. Langah
eWzRKU0hFt,Syed Javed Ali Shah
etS3WnbZol,Rana Shaukat Hayat
cfrjLKvCpT,Ghulam Abbas
GdhAYMxKrP,Mian M. Nawaz Sharif
GS0mzI43hn,Sardar Haider Zaman Khan
fwdr3GuvFR,Col. (R) Abdur Razzaq Khan Abbasi
2SRhtDhHSn,Shah Mehmood Qureshi
ZGnjqnkhJV,Makhdoom M. Javed Hashmi
8qQ2Ewt6Up,"Shah M. Sahu, Adv."
rErzp7uzDv,Akhtar Hussain Gill
RPOc9JeLBk,Haji M. Iqbal Hiraj
U9QIVQ1PHl,Syed Fakhar Imam Shah
CpORMcGeWS,Aftab Ahmad Khan
5PSNn46WVb,Sardar Allah Yar
gNtq3gmLHd,Pir M. Aslam Bodla
pWTnkzwYLr,Begum Majeeda Wyne
Fhtb3TlsEG,Tanveer Ahmad
7UZ5soGf1d,Mehar Khizar Hayat Hiraj
7N2Jd7FSRW,Khan Farhatullah Khan
WzcPUII5lR,Nuarez Shakoor Khan
US7QMUTmUi,Anwar-Ul-Haq Ramay
rhk71XQ5LB,Rana Aftab Ahmad Khan
9Hl6ngL5Wr,Ch. M. Idrees
cx1S9L6nvC,Ehsan-Ul-Haq Khan
r00JCgK2wB,Syed Nadeem Hussain
q9zO6RVqTj,Mian M. Rafiq
YZ2T0cwr8S,Mehar Ghulam Fareed Kathia
XjJC6RZIym,Ch. M. Ashraf
EMXgAncNIF,Maj. (R) Ahmad Mehmood
hlQoFfMvmt,Ghulam Fareed
ZaQHaqe3dS,Roshan Ali
kViF41pO7Z,Shahnaz Javed
YIIo7KVIOC,Rai Ahmad Nawaz
1JinMWjDMu,Molvi Bashir Ahmad
45ULaKxAGg,Shahnaz Bibi
0Gf4AMbxmw,Mian M. Amjad Joiya
A9KH67d8Wj,Raja Shahid Saeed Khan
zkBitYdNDA,Abdur Rehman Alias Jami
3wGiXgYZy5,Aish M. Khan Sara
KC3vyb0Bde,Rana Ghazanfar Abbas Khan
DEHaah5nOs,Rao M. Hashim Khan
A64ptB42Bu,M. Ahmad Khan
AyqW6ksIjf,Ahmad Raza Khan Maneka
zrQ8Os9Le1,Mian Noor M. Khan Bhabha
4fn8rrXw5q,M. Nawaz Khan Alias Dilwar Khan
haXxVYvTaW,Mian Faiz Hakhsh
ITMjCHFTJC,Haji M. Aslam Khan Khichi
6w2Y1RVQfh,Gohar Ayub Khan
BWJfdbnxLv,Abdul Haq
PgV5Bvw7om,Tehmina Aqeel Daultana
tmUSYWTWjg,Abdul Hameed Bhatti
uZVTUGx8VL,Abdul Haq Duggal
H6pFiWUALk,Taj M. Bhatti
mkStJ4gKzH,Abdul Majid Mian
V8yWj0LiZK,Mian Shaukat Ali Aqeel
PKoeSSMvce,Qurban Ali Chuhan
BeJC3ysVhX,Ch. Nazir Ahmad
s4aK3Vvj7W,Qari M. Tayyab
pmxtoInoJE,Nazir Ahmad Mithoo Dogar
QYU1ojcGwX,Kh. Kamaluddin Anwar
uJm0ImMs9A,Sardar M. Amjad Farooq Khan Khosa
Q1soNS8VcN,Molana M. Abdul Qadir Dervi
JThmasRuqq,Haji Saifullah Khan Saddozai
2KOdvo2bQP,Sardar Farooq Ahmad Khan Leghari
JRqPg6atSQ,Sardar M. Saifuddin Khan Khosa
1SZkNa3p0O,Mir Balakh Sher Mazari
uK5KAmVJ70,Sardar Nasrullah Khan Dreshak
QLX9hJQazg,M. Rafiq Pachar
yby2LRgFug,Abdul Qayoom Khan Jatoi
5sQEx7OEcD,Molana Shah Ahmad Noorani Siddiqi
gfZuMsrjuJ,Jameel Ahmad Hussain Bukhari
5uIfux9Ytn,Nawabzada Nasrullah Khan
BEFXrrAodS,Mian Atta M. Qureshi
FNPeP0DOts,Muzaffar Mehdi Hashmi
gNk0oVZ1XV,Jam Niaz Rasool Ganga
KTNmzBNgUn,Ghulam M. Mustafa Khar
B3wWNQKkEc,Ehsan Karim Qureshi
QMNDTvNOHN,Malik Ghulam M. Noor Rabani Khar
7HFt9WGYqz,Liaqat Baloch
nz567LPrXa,Malik Ghulam M. Fakhar-Ur-Rusul Arbi
k8fHCo08JB,Haji M. Akram Dawana
lV9w4EolUW,Dr. Syed Athar Mehdi Kazmi
I0Y7SVr2Yo,Amjad Hamid Khan Dasti
0w14Pzkqoq,Malik M. Rafiq Khar
mKcyDjDutL,Malik Ghulam M. Mustafa Khar
0C0DZLTx02,Mian Ghulam Abbas Qureshi
Yk0jYJgRBx,M. Ramzan Motianwala
qMpOKfz4R5,Abdullah Salfi
s4U0k0ewfB,Niaz Ahmad Buzdar Baloch
3rwunSu07o,Malik Niaz Ahmad Jakhar
jnEAgtOIAE,Malik Ghulam Haider Thind
hrFZRIfq0B,Abdur Razzaq Rahi
GPxTLOZzCw,Liaqat Ali Khan Khetran
SmcOYUCVpy,Mian Maqsood Ali
AtEVWIv40X,Sardar M. Yousaf
WK2oJePz8O,Syed Qasim Shah
RYNBHNBvb0,M. Jehangir Khan
KmFFboG7de,Sahabzada Faiz-Ul-Hassan
AwsUVLIuxP,Manzoor Ahmad Khan
cjYQnx4tNB,Nawab Salahuddin Ahmad Abbasi
jhqIzWEBS0,Sahabzada M. Usman Abbasi
UmiMbmBCRh,M. Abdullah
X9ORmtXCPn,Malik Farooq Ahmad
UhBLfnUBcW,Sahabzada Farooq Anwar Abbasi
N4WlmfFZ60,Tariq Bashir Cheema
IZujSNjrBN,Syed Mehmood Akbar Rizvi
4yDnUXhmj7,M. Islam
QiL7g5RnwL,Mian Riaz Hussain Pirzada
kK6hq6g1ch,Syed Tasneem Nawaz Gardezi
bEwcJojMnR,Ch. Ghulam M. Azim
BjhmQaemLG,Mian Abdul Sattar Laleka
UHYmURMRop,Syed M. Asghar Shah
uFcHv3QWk4,Abdul Qadir Shaheen
GaUjfR8kOI,Mian Shaukat Ali Laleka
eJJaK7ss2d,Dr. Noor M. Ghaffari
PqcnMDuyfq,Mian Mumtaz Ahmad
OSnIZjO1Ne,Mian Abdul Sattar Laleka
wEQcAh87w2,Capt. M. Sadiq Khan Khakwani
nPZnfhmsxz,Ghulam Rasool
FdUTeedCL1,Abdul Sattar
RGhD1NiqvM,Ali Akbar Mazhar Wains
FQYu4RDT3c,Ch. Abdul Ghafoor
7HZBiGDXp9,Dr. Ehsan Bari
