election_date,constituency_number,constituency_name,voter_reg,validated_votes,votes_disq
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-1,Peshawar 1,248765,89906,1925
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-10,Karak,171858,59371,877
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-100,Lahore 9,166732,89509,856
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-101,Sheikhupura 1,272935,121988,1343
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-102,Sheikhupura 2,272887,128321,1351
1993,NA-103,Sheikhupura 3,220398,100608,949
1993,NA-103,Sheikhupura 3,220398,100608,949
1993,NA-103,Sheikhupura 3,220398,100608,949
1993,NA-103,Sheikhupura 3,220398,100608,949
1993,NA-104,Sheikhupura 4,294888,121981,1047
1993,NA-104,Sheikhupura 4,294888,121981,1047
1993,NA-104,Sheikhupura 4,294888,121981,1047
1993,NA-105,Sheikhupura 5,243707,91312,1121
1993,NA-105,Sheikhupura 5,243707,91312,1121
1993,NA-106,Kasur 1,246355,119731,1377
1993,NA-106,Kasur 1,246355,119731,1377
1993,NA-106,Kasur 1,246355,119731,1377
1993,NA-106,Kasur 1,246355,119731,1377
1993,NA-106,Kasur 1,246355,119731,1377
